<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	01:00:00	1828.70	1831.60	1827.81	1828.30	1772	0	37
2022.01.03	02:00:00	1828.30	1830.85	1826.82	1830.08	2911	0	37
2022.01.03	03:00:00	1830.07	1831.35	1827.42	1828.67	3209	0	37
2022.01.03	04:00:00	1828.67	1828.73	1825.51	1826.01	2465	0	37
2022.01.03	05:00:00	1826.03	1826.69	1824.03	1825.55	2086	0	38
2022.01.03	06:00:00	1825.52	1825.79	1824.40	1825.01	1077	0	39
2022.01.03	07:00:00	1825.01	1825.57	1823.50	1825.25	1563	0	40
2022.01.03	08:00:00	1825.25	1825.57	1823.52	1825.13	1966	0	37
2022.01.03	09:00:00	1825.11	1825.22	1820.85	1824.07	3573	0	37
2022.01.03	10:00:00	1824.09	1824.16	1821.19	1822.71	3641	0	37
2022.01.03	11:00:00	1822.72	1826.50	1822.31	1826.22	3922	0	37
2022.01.03	12:00:00	1826.22	1827.32	1825.36	1826.28	3203	0	37
2022.01.03	13:00:00	1826.29	1827.00	1822.15	1822.77	3882	0	37
2022.01.03	14:00:00	1822.77	1823.06	1821.15	1821.65	3686	0	37
2022.01.03	15:00:00	1821.65	1821.89	1805.54	1806.97	13791	0	37
2022.01.03	16:00:00	1806.96	1810.75	1802.67	1802.72	13084	0	37
2022.01.03	17:00:00	1802.71	1806.53	1799.60	1801.78	12758	0	37
2022.01.03	18:00:00	1801.74	1801.81	1798.13	1800.58	6766	0	37
2022.01.03	19:00:00	1800.55	1800.80	1798.65	1799.51	3973	0	37
2022.01.03	20:00:00	1799.49	1802.08	1798.88	1801.50	4032	0	37
2022.01.03	21:00:00	1801.51	1802.88	1800.90	1801.57	2780	0	37
2022.01.03	22:00:00	1801.55	1804.39	1800.99	1801.55	4186	0	37
2022.01.03	23:00:00	1801.57	1802.10	1800.76	1800.99	1427	0	40
2022.01.04	01:00:00	1801.00	1804.20	1800.83	1804.05	1171	0	38
2022.01.04	02:00:00	1804.05	1804.68	1802.72	1804.22	2349	0	39
